	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54058_ID1725_2-B-9S_S1_L001_R1.trmdfilt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9186872982899035e-05	0.0004804001190445305	1.4796718245724759e-05	9.864478830483172e-07	9.864478830483172e-07	4.8335946269367555e-05	9.864478830483172e-07	0.0	0.0	0.0	1.9941084862417383e-06	0.0	0.0	0.0	0.0	8.133249714037481e-06	5.1096749313717e-06	4.1076626176648945e-06	5.6808184634036774e-05	5.398714703073495e-05	1.462352914977005e-05	2.1007422500073393e-06	3.1716994753427585e-05	0.02154190275643796	1.0714009445899288e-05	0.0001230066024764984	1.3050611554920117e-05	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54058_ID1725_2-B-9S_S1_L001_R2.trmdfilt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.932239415241587e-06	0.0	0.0	0.0	0.0	0.0	2.3674749193159615e-05	9.875140013438288e-07	0.0	1.9869250595151116e-06	9.969690247406736e-07	0.0	0.0	0.0	4.6561650373243755e-05	4.573806927798992e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.113212283955082e-06	0.0	0.0	0.00013262051924728605	2.1734259362024068e-05	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54059_ID1725_10-B-31A_S2_L001_R1.trmdfilt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.825301024114535e-05	0.00044256424680825537	1.3042168373524224e-05	0.0	8.694778915682817e-07	3.912650512057267e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.423311513403036e-06	5.327066666809906e-06	8.019685512131593e-06	6.711591674995379e-05	5.660291462423361e-05	1.8057980328484955e-05	1.814359391791896e-06	4.19698348563639e-05	0.021653399038528514	6.4668872737478655e-06	0.00011910514000651022	1.03185957426806e-05	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54059_ID1725_10-B-31A_S2_L001_R2.trmdfilt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7389557831365632e-05	0.0	0.0	0.0	0.0	0.0	3.651807144586783e-05	2.609776780572404e-06	8.714003106716388e-07	0.0	1.7487431542498223e-06	0.0	0.0	0.0	5.646878671491324e-05	4.069330456871073e-05	0.0	0.0	0.0	0.0	0.0	9.070581670007106e-07	1.8244983475655301e-06	0.0	0.0	0.00011721613139191541	1.6880677552134076e-05	0.0	0.0	0.0
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54060_ID1725_11-B-32S_S3_L001_R1.trmdfilt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.357256452233863e-05	0.0004577224645608382	8.900159033127409e-06	0.0	0.0	4.3229343875190275e-05	1.2714512904467728e-06	0.0	0.0	0.0	2.566727338967505e-06	0.0	0.0	0.0	1.3012799962606418e-06	6.531296404860956e-06	5.249621400585603e-06	5.2727096163401164e-06	5.829827520180445e-05	5.191165605157601e-05	1.4722670133436109e-05	1.3451104026265165e-06	3.246880539228932e-05	0.021972104378432878	9.581742039820652e-06	7.988111596508252e-05	1.3868040024217481e-05	0.0	0.0	0.0
