Sample	Unique Reads	Duplicate Reads
54101_ID1725_20-B-42S_S44_L001_R1.trmdfilt	9537274.0	7052357.0
54101_ID1725_20-B-42S_S44_L001_R2.trmdfilt	9813769.0	6775862.0
54102_ID1725_21-B-44A_S45_L001_R1.trmdfilt	13606192.0	7378686.0
54102_ID1725_21-B-44A_S45_L001_R2.trmdfilt	13807694.0	7177184.0
54103_ID1725_22-B-45B_S46_L001_R1.trmdfilt	15081615.0	12638064.0
54103_ID1725_22-B-45B_S46_L001_R2.trmdfilt	15004270.0	12715409.0
54104_ID1725_23-B-47S_S47_L001_R1.trmdfilt	14676934.0	8403123.0
54104_ID1725_23-B-47S_S47_L001_R2.trmdfilt	14952373.0	8127684.0
54105_ID1725_25-B-49A_S48_L001_R1.trmdfilt	11160642.0	4992801.0
54105_ID1725_25-B-49A_S48_L001_R2.trmdfilt	11305682.0	4847761.0
54106_ID1725_28-B-55S_S49_L001_R1.trmdfilt	19020438.0	10908189.0
54106_ID1725_28-B-55S_S49_L001_R2.trmdfilt	19259272.0	10669355.0
54107_ID1725_29-B-56S_S50_L001_R1.trmdfilt	12851301.0	6031708.0
54107_ID1725_29-B-56S_S50_L001_R2.trmdfilt	13137646.0	5745363.0
54108_ID1725_30-B-57B_S51_L001_R1.trmdfilt	14347050.0	9131462.0
54108_ID1725_30-B-57B_S51_L001_R2.trmdfilt	14618883.0	8859629.0
54109_ID1725_31-B-58A_S52_L001_R1.trmdfilt	7496964.0	5577315.0
54109_ID1725_31-B-58A_S52_L001_R2.trmdfilt	7614269.0	5460010.0
54110_ID1725_32-B-60B_S53_L001_R1.trmdfilt	12749766.0	9578634.0
54110_ID1725_32-B-60B_S53_L001_R2.trmdfilt	13138919.0	9189481.0
54111_ID1725_33-B-61S_S54_L001_R1.trmdfilt	10050353.0	4725772.0
54111_ID1725_33-B-61S_S54_L001_R2.trmdfilt	10188463.0	4587662.0
54112_ID1725_34-B-62A_S55_L001_R1.trmdfilt	13095835.0	5121815.0
54112_ID1725_34-B-62A_S55_L001_R2.trmdfilt	12705728.0	5511922.0
54113_ID1725_35-B-64S_S56_L001_R1.trmdfilt	14239672.0	7533512.0
54113_ID1725_35-B-64S_S56_L001_R2.trmdfilt	14547905.0	7225279.0
54114_ID1725_36-B-65S_S57_L001_R1.trmdfilt	13655757.0	5989996.0
54114_ID1725_36-B-65S_S57_L001_R2.trmdfilt	13790221.0	5855532.0
54115_ID1725_37-B-66S_S58_L001_R1.trmdfilt	13447483.0	6334441.0
54115_ID1725_37-B-66S_S58_L001_R2.trmdfilt	14048438.0	5733486.0
54116_ID1725_39-B-70S_S59_L001_R1.trmdfilt	11658037.0	9813724.0
54116_ID1725_39-B-70S_S59_L001_R2.trmdfilt	11573669.0	9898092.0
54117_ID1725_44-B-81S_S60_L001_R1.trmdfilt	15771555.0	9749926.0
54117_ID1725_44-B-81S_S60_L001_R2.trmdfilt	16053464.0	9468017.0
70305_ID2138_1_BO17_224_B_S107_L001_R1.trmdfilt	25966218.0	29655435.0
70305_ID2138_1_BO17_224_B_S107_L001_R2.trmdfilt	26359518.0	29262135.0
70306_ID2138_2_BO17_258_S_S108_L001_R1.trmdfilt	18512124.0	17361523.0
70306_ID2138_2_BO17_258_S_S108_L001_R2.trmdfilt	19963239.0	15910408.0
70307_ID2138_3_BO17_263_S_S109_L001_R1.trmdfilt	15483349.0	12518428.0
70307_ID2138_3_BO17_263_S_S109_L001_R2.trmdfilt	15488357.0	12513420.0
70308_ID2138_4_BO17_265_S_S110_L001_R1.trmdfilt	17976889.0	16285716.0
70308_ID2138_4_BO17_265_S_S110_L001_R2.trmdfilt	18794061.0	15468544.0
70309_ID2138_5_BO17_268_S_S111_L001_R1.trmdfilt	21995471.0	18782034.0
70309_ID2138_5_BO17_268_S_S111_L001_R2.trmdfilt	23401250.0	17376255.0
70310_ID2138_6_BO17_344_A_S112_L001_R1.trmdfilt	26985722.0	24797884.0
70310_ID2138_6_BO17_344_A_S112_L001_R2.trmdfilt	28227406.0	23556200.0
70311_ID2138_7_BO17_509_S_S113_L001_R1.trmdfilt	13565833.0	8254176.0
70311_ID2138_7_BO17_509_S_S113_L001_R2.trmdfilt	14224701.0	7595308.0
70312_ID2138_8_BO17_505_S_S114_L001_R1.trmdfilt	15510559.0	9536656.0
70312_ID2138_8_BO17_505_S_S114_L001_R2.trmdfilt	16015946.0	9031269.0
70313_ID2138_9_ZU19_004_S_S115_L001_R1.trmdfilt	17863276.0	10718176.0
70313_ID2138_9_ZU19_004_S_S115_L001_R2.trmdfilt	18422566.0	10158886.0
70314_ID2138_10_ZU19_013_A_S116_L001_R1.trmdfilt	21470630.0	16143371.0
70314_ID2138_10_ZU19_013_A_S116_L001_R2.trmdfilt	22039192.0	15574809.0
70315_ID2138_11_ZU19_030_S_S117_L001_R1.trmdfilt	19892298.0	16529607.0
70315_ID2138_11_ZU19_030_S_S117_L001_R2.trmdfilt	21428853.0	14993052.0
70316_ID2138_12_ZU19_031_A_S118_L001_R1.trmdfilt	14319824.0	9286313.0
70316_ID2138_12_ZU19_031_A_S118_L001_R2.trmdfilt	15220319.0	8385818.0
70317_ID2138_13_ZU19_100_B_S119_L001_R1.trmdfilt	13334885.0	7709015.0
70317_ID2138_13_ZU19_100_B_S119_L001_R2.trmdfilt	13745378.0	7298522.0
70318_ID2138_14_ZU19_110_S_S120_L001_R1.trmdfilt	14812774.0	9350134.0
70318_ID2138_14_ZU19_110_S_S120_L001_R2.trmdfilt	15426423.0	8736485.0
70319_ID2138_15_ZU19_76_S_S121_L001_R1.trmdfilt	15171713.0	22875875.0
70319_ID2138_15_ZU19_76_S_S121_L001_R2.trmdfilt	15486291.0	22561297.0
70320_ID2138_16_ZU19_87_S_S122_L001_R1.trmdfilt	18151262.0	17599361.0
70320_ID2138_16_ZU19_87_S_S122_L001_R2.trmdfilt	18491050.0	17259573.0
70321_ID2138_17_ZU19_90_S_S123_L001_R1.trmdfilt	15430249.0	14482086.0
70321_ID2138_17_ZU19_90_S_S123_L001_R2.trmdfilt	16257663.0	13654672.0
70322_ID2138_18_ZU19_41_A_S124_L001_R1.trmdfilt	15708957.0	9693069.0
70322_ID2138_18_ZU19_41_A_S124_L001_R2.trmdfilt	16049966.0	9352060.0
70323_ID2138_19_ZU19_029_A_S125_L001_R1.trmdfilt	15209558.0	10072196.0
70323_ID2138_19_ZU19_029_A_S125_L001_R2.trmdfilt	15498297.0	9783457.0
70324_ID2138_20_BO17_241_S_S56_L001_R1.trmdfilt	26408151.0	16866607.0
70324_ID2138_20_BO17_241_S_S56_L001_R2.trmdfilt	27398947.0	15875811.0
70325_ID2138_21_BO17_252_A_S57_L001_R1.trmdfilt	22110014.0	19407296.0
70325_ID2138_21_BO17_252_A_S57_L001_R2.trmdfilt	23304685.0	18212625.0
70326_ID2138_22_BO17_256_S_S58_L001_R1.trmdfilt	20211114.0	16529157.0
70326_ID2138_22_BO17_256_S_S58_L001_R2.trmdfilt	21569041.0	15171230.0
70327_ID2138_23_BO17_257_S_S59_L001_R1.trmdfilt	25955522.0	27735738.0
70327_ID2138_23_BO17_257_S_S59_L001_R2.trmdfilt	28080981.0	25610279.0
70328_ID2138_24_BO17_282_S_S60_L001_R1.trmdfilt	18699633.0	26883098.0
70328_ID2138_24_BO17_282_S_S60_L001_R2.trmdfilt	19582687.0	26000044.0
70329_ID2138_25_BO17_286_S_S61_L001_R1.trmdfilt	27531287.0	25980951.0
70329_ID2138_25_BO17_286_S_S61_L001_R2.trmdfilt	29260827.0	24251411.0
70330_ID2138_26_BO17_288_S_S62_L001_R1.trmdfilt	19617918.0	21543200.0
70330_ID2138_26_BO17_288_S_S62_L001_R2.trmdfilt	20887877.0	20273241.0
70331_ID2138_27_BO17_315_S_S63_L001_R1.trmdfilt	25197151.0	21837604.0
70331_ID2138_27_BO17_315_S_S63_L001_R2.trmdfilt	26230608.0	20804147.0
70332_ID2138_28_BO17_325_A_S64_L001_R1.trmdfilt	19145406.0	12371516.0
70332_ID2138_28_BO17_325_A_S64_L001_R2.trmdfilt	20152218.0	11364704.0
70333_ID2138_29_BO17_344_B_S65_L001_R1.trmdfilt	20619239.0	17034334.0
70333_ID2138_29_BO17_344_B_S65_L001_R2.trmdfilt	22149340.0	15504233.0
70334_ID2138_30_BO17_526_S_S66_L001_R1.trmdfilt	20309317.0	16746349.0
70334_ID2138_30_BO17_526_S_S66_L001_R2.trmdfilt	21988629.0	15067037.0
70335_ID2138_31_BO17_511_S_S67_L001_R1.trmdfilt	17722733.0	11083355.0
70335_ID2138_31_BO17_511_S_S67_L001_R2.trmdfilt	17761819.0	11044269.0
70336_ID2138_32_BO17_510_A_S68_L001_R1.trmdfilt	18831641.0	14171636.0
70336_ID2138_32_BO17_510_A_S68_L001_R2.trmdfilt	19366669.0	13636608.0
70337_ID2138_33_BO17_337_S_S106_L001_R1.trmdfilt	6.0	0.0
70337_ID2138_33_BO17_337_S_S106_L001_R2.trmdfilt	6.0	0.0
70338_ID2138_34_ZU19_001_B_S70_L001_R1.trmdfilt	23875944.0	19129575.0
70338_ID2138_34_ZU19_001_B_S70_L001_R2.trmdfilt	25006791.0	17998728.0
70339_ID2138_35_ZU19_005_A_S71_L001_R1.trmdfilt	18887164.0	12242510.0
70339_ID2138_35_ZU19_005_A_S71_L001_R2.trmdfilt	19786404.0	11343270.0
70340_ID2138_36_ZU19_019_S_S72_L001_R1.trmdfilt	26253955.0	20483911.0
70340_ID2138_36_ZU19_019_S_S72_L001_R2.trmdfilt	27379346.0	19358520.0
70341_ID2138_37_ZU19_020_B_S73_L001_R1.trmdfilt	24120097.0	13482857.0
70341_ID2138_37_ZU19_020_B_S73_L001_R2.trmdfilt	24450082.0	13152872.0
70342_ID2138_38_ZU19_034_A_S74_L001_R1.trmdfilt	10599587.0	23234175.0
70342_ID2138_38_ZU19_034_A_S74_L001_R2.trmdfilt	12934228.0	20899534.0
70343_ID2138_39_ZU19_035_B_S75_L001_R1.trmdfilt	19296818.0	15742507.0
70343_ID2138_39_ZU19_035_B_S75_L001_R2.trmdfilt	20472404.0	14566921.0
70344_ID2138_40_ZU19_099_S_S76_L001_R1.trmdfilt	21924447.0	15892604.0
70344_ID2138_40_ZU19_099_S_S76_L001_R2.trmdfilt	22804641.0	15012410.0
70345_ID2138_41_ZU19_96_B_S77_L001_R1.trmdfilt	13579142.0	15569233.0
70345_ID2138_41_ZU19_96_B_S77_L001_R2.trmdfilt	14507335.0	14641040.0
70346_ID2138_42_ZU19_101_S_S78_L001_R1.trmdfilt	22154893.0	18253410.0
70346_ID2138_42_ZU19_101_S_S78_L001_R2.trmdfilt	22223437.0	18184866.0
70347_ID2138_43_ZU19_109_S_S79_L001_R1.trmdfilt	16711054.0	12117785.0
70347_ID2138_43_ZU19_109_S_S79_L001_R2.trmdfilt	17029799.0	11799040.0
70348_ID2138_44_ZU19_83_B_S80_L001_R1.trmdfilt	21199743.0	17215663.0
70348_ID2138_44_ZU19_83_B_S80_L001_R2.trmdfilt	21929086.0	16486320.0
70349_ID2138_45_ZU19_016_B_S81_L001_R1.trmdfilt	26727487.0	20787354.0
70349_ID2138_45_ZU19_016_B_S81_L001_R2.trmdfilt	27239604.0	20275237.0
70350_ID2138_46_ZU19_051_A_S82_L001_R1.trmdfilt	22802450.0	21774155.0
70350_ID2138_46_ZU19_051_A_S82_L001_R2.trmdfilt	24795105.0	19781500.0
70351_ID2138_47_ZU19_058_S_S83_L001_R1.trmdfilt	22290667.0	32292528.0
70351_ID2138_47_ZU19_058_S_S83_L001_R2.trmdfilt	23947106.0	30636089.0
70352_ID2138_48_ZU19_061_S_S84_L001_R1.trmdfilt	21953554.0	20172171.0
70352_ID2138_48_ZU19_061_S_S84_L001_R2.trmdfilt	23060135.0	19065590.0
70353_ID2138_49_ZU19_028_S_S85_L001_R1.trmdfilt	19489010.0	14869553.0
70353_ID2138_49_ZU19_028_S_S85_L001_R2.trmdfilt	20402103.0	13956460.0
70354_ID2138_50_ZU19_097_B_S86_L001_R1.trmdfilt	21171741.0	21366476.0
70354_ID2138_50_ZU19_097_B_S86_L001_R2.trmdfilt	22464919.0	20073298.0
70355_ID2138_51_BO21_531_S_S87_L001_R1.trmdfilt	22170574.0	17431343.0
70355_ID2138_51_BO21_531_S_S87_L001_R2.trmdfilt	22477115.0	17124802.0
70356_ID2138_52_BO17_233_S_S126_L001_R1.trmdfilt	13423648.0	27633622.0
70356_ID2138_52_BO17_233_S_S126_L001_R2.trmdfilt	14130087.0	26927183.0
70357_ID2138_53_BO17_236_B_S127_L001_R1.trmdfilt	13005378.0	26460381.0
70357_ID2138_53_BO17_236_B_S127_L001_R2.trmdfilt	13108243.0	26357516.0
70358_ID2138_54_BO17_240_S_S128_L001_R1.trmdfilt	22887595.0	13560943.0
70358_ID2138_54_BO17_240_S_S128_L001_R2.trmdfilt	23416905.0	13031633.0
70359_ID2138_55_BO17_244_S_S129_L001_R1.trmdfilt	20407976.0	12722591.0
70359_ID2138_55_BO17_244_S_S129_L001_R2.trmdfilt	21168655.0	11961912.0
70360_ID2138_56_BO17_246_S_S130_L001_R1.trmdfilt	23383560.0	17198231.0
70360_ID2138_56_BO17_246_S_S130_L001_R2.trmdfilt	23870776.0	16711015.0
70361_ID2138_57_BO17_248_S_S131_L001_R1.trmdfilt	18176220.0	10441488.0
70361_ID2138_57_BO17_248_S_S131_L001_R2.trmdfilt	18172594.0	10445114.0
70362_ID2138_58_BO17_253_S_S132_L001_R1.trmdfilt	22674896.0	14640232.0
70362_ID2138_58_BO17_253_S_S132_L001_R2.trmdfilt	22787178.0	14527950.0
70363_ID2138_59_BO17_264_S_S133_L001_R1.trmdfilt	18730591.0	12826824.0
70363_ID2138_59_BO17_264_S_S133_L001_R2.trmdfilt	19126272.0	12431143.0
70364_ID2138_60_BO17_270_S_S134_L001_R1.trmdfilt	20423655.0	12736488.0
70364_ID2138_60_BO17_270_S_S134_L001_R2.trmdfilt	21055475.0	12104668.0
70365_ID2138_61_BO17_287_S_S135_L001_R1.trmdfilt	17280938.0	10930703.0
70365_ID2138_61_BO17_287_S_S135_L001_R2.trmdfilt	17756096.0	10455545.0
70366_ID2138_62_BO17_290_S_S136_L001_R1.trmdfilt	16273539.0	8311155.0
70366_ID2138_62_BO17_290_S_S136_L001_R2.trmdfilt	16489947.0	8094747.0
70367_ID2138_63_BO17_292_S_S137_L001_R1.trmdfilt	22966783.0	16483997.0
70367_ID2138_63_BO17_292_S_S137_L001_R2.trmdfilt	23065259.0	16385521.0
70368_ID2138_64_BO17_294_S_S138_L001_R1.trmdfilt	17224258.0	9650762.0
70368_ID2138_64_BO17_294_S_S138_L001_R2.trmdfilt	17634627.0	9240393.0
70369_ID2138_65_BO17_295_S_S106_L001_R1.trmdfilt	5.0	0.0
70369_ID2138_65_BO17_295_S_S106_L001_R2.trmdfilt	5.0	0.0
70370_ID2138_66_BO17_298_S_S140_L001_R1.trmdfilt	18297924.0	12185007.0
70370_ID2138_66_BO17_298_S_S140_L001_R2.trmdfilt	18983270.0	11499661.0
70371_ID2138_67_BO17_301_S_S141_L001_R1.trmdfilt	19752317.0	10756031.0
70371_ID2138_67_BO17_301_S_S141_L001_R2.trmdfilt	18915518.0	11592830.0
70372_ID2138_68_BO17_303_S_S142_L001_R1.trmdfilt	20121860.0	12501446.0
70372_ID2138_68_BO17_303_S_S142_L001_R2.trmdfilt	20862735.0	11760571.0
70373_ID2138_69_BO17_305_S_S143_L001_R1.trmdfilt	19630120.0	12662183.0
70373_ID2138_69_BO17_305_S_S143_L001_R2.trmdfilt	20449703.0	11842600.0
70374_ID2138_70_BO17_306_S_S144_L001_R1.trmdfilt	20432071.0	13804391.0
70374_ID2138_70_BO17_306_S_S144_L001_R2.trmdfilt	21522778.0	12713684.0
70375_ID2138_71_BO17_307_S_S145_L001_R1.trmdfilt	14019382.0	7902321.0
70375_ID2138_71_BO17_307_S_S145_L001_R2.trmdfilt	14557291.0	7364412.0
70376_ID2138_72_BO17_312_S_S146_L001_R1.trmdfilt	17633616.0	11765451.0
70376_ID2138_72_BO17_312_S_S146_L001_R2.trmdfilt	18398928.0	11000139.0
70377_ID2138_73_BO17_316_S_S147_L001_R1.trmdfilt	18626128.0	13885984.0
70377_ID2138_73_BO17_316_S_S147_L001_R2.trmdfilt	19408401.0	13103711.0
70378_ID2138_74_BO17_318_S_S148_L001_R1.trmdfilt	16167675.0	9189142.0
70378_ID2138_74_BO17_318_S_S148_L001_R2.trmdfilt	16686996.0	8669821.0
70379_ID2138_75_BO17_323_S_S149_L001_R1.trmdfilt	18951987.0	13146544.0
70379_ID2138_75_BO17_323_S_S149_L001_R2.trmdfilt	19713371.0	12385160.0
70380_ID2138_76_BO17_324_S_S150_L001_R1.trmdfilt	16112502.0	10617278.0
70380_ID2138_76_BO17_324_S_S150_L001_R2.trmdfilt	16962973.0	9766807.0
70381_ID2138_77_BO17_238_B_S151_L001_R1.trmdfilt	12755842.0	18085534.0
70381_ID2138_77_BO17_238_B_S151_L001_R2.trmdfilt	13697625.0	17143751.0
70382_ID2138_78_BO17_342_B_S152_L001_R1.trmdfilt	23463481.0	14009424.0
70382_ID2138_78_BO17_342_B_S152_L001_R2.trmdfilt	22670096.0	14802809.0
70383_ID2138_79_BO17_343_B_S153_L001_R1.trmdfilt	30861164.0	18133815.0
70383_ID2138_79_BO17_343_B_S153_L001_R2.trmdfilt	31221244.0	17773735.0
70384_ID2138_80_BO17_338_B_S154_L001_R1.trmdfilt	22673963.0	15767420.0
70384_ID2138_80_BO17_338_B_S154_L001_R2.trmdfilt	23344241.0	15097142.0
70385_ID2138_81_BO17_348_A_S155_L001_R1.trmdfilt	18641329.0	9835813.0
70385_ID2138_81_BO17_348_A_S155_L001_R2.trmdfilt	18883392.0	9593750.0
70386_ID2138_82_BO17_507_S_S156_L001_R1.trmdfilt	8506073.0	17136390.0
70386_ID2138_82_BO17_507_S_S156_L001_R2.trmdfilt	9724453.0	15918010.0
70387_ID2138_83_BO17_512_S_S157_L001_R1.trmdfilt	20289189.0	13129031.0
70387_ID2138_83_BO17_512_S_S157_L001_R2.trmdfilt	20797625.0	12620595.0
70388_ID2138_84_BO17_522_S_S106_L001_R1.trmdfilt	5.0	0.0
70388_ID2138_84_BO17_522_S_S106_L001_R2.trmdfilt	5.0	0.0
70389_ID2138_85_BO21_502_S_S106_L001_R1.trmdfilt	5.0	0.0
70389_ID2138_85_BO21_502_S_S106_L001_R2.trmdfilt	5.0	0.0
70390_ID2138_86_BO17_281_S_S160_L001_R1.trmdfilt	15120322.0	9902735.0
70390_ID2138_86_BO17_281_S_S160_L001_R2.trmdfilt	15717658.0	9305399.0
70391_ID2138_87_ZU19_024_S_S161_L001_R1.trmdfilt	16624803.0	19232272.0
70391_ID2138_87_ZU19_024_S_S161_L001_R2.trmdfilt	17645509.0	18211566.0
70392_ID2138_88_ZU19_082_S_S162_L001_R1.trmdfilt	16755069.0	9557102.0
70392_ID2138_88_ZU19_082_S_S162_L001_R2.trmdfilt	17082686.0	9229485.0
70393_ID2138_89_ZU19_72_S_S163_L001_R1.trmdfilt	18206957.0	9592759.0
70393_ID2138_89_ZU19_72_S_S163_L001_R2.trmdfilt	18352313.0	9447403.0
70394_ID2138_90_ZU19_105_S_S106_L001_R1.trmdfilt	5.0	0.0
70394_ID2138_90_ZU19_105_S_S106_L001_R2.trmdfilt	5.0	0.0
70395_ID2138_91_ZU19_91_S_S165_L001_R1.trmdfilt	17666330.0	9836024.0
70395_ID2138_91_ZU19_91_S_S165_L001_R2.trmdfilt	17815391.0	9686963.0
70396_ID2138_92_ZU19_42_S_S166_L001_R1.trmdfilt	13499567.0	14724080.0
70396_ID2138_92_ZU19_42_S_S166_L001_R2.trmdfilt	13800577.0	14423070.0
70397_ID2138_93_ZU19_74_S_S167_L001_R1.trmdfilt	15195625.0	25876567.0
70397_ID2138_93_ZU19_74_S_S167_L001_R2.trmdfilt	15636840.0	25435352.0
70398_ID2138_94_ZU19_006_S_S168_L001_R1.trmdfilt	17987816.0	9993624.0
70398_ID2138_94_ZU19_006_S_S168_L001_R2.trmdfilt	18061996.0	9919444.0
70399_ID2138_95_ZU19_007_S_S169_L001_R1.trmdfilt	19368019.0	12025629.0
70399_ID2138_95_ZU19_007_S_S169_L001_R2.trmdfilt	19531101.0	11862547.0
