	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54058_ID1725_2-B-9S_S1_L001_R1.trmdfilt	35.66796687073972	35.82630270554047	35.94781621647323	36.02171260570899	36.19173104143348	36.28319172709564	36.21581812584175	36.2627481865882	36.24753982364088	36.23782874732069	36.222564196301946	36.19760876155118	36.09407030394334	36.039551598277384	36.004459898575405	35.97212462656609	35.91234865647909	35.87557857950212	35.854745988085114	35.807365652331704	35.77573052104141	35.7343829448416	35.648265187193616	35.6023103627676	35.55734853177347	35.49370950958988	35.43699280041312	35.36997096996655	35.285938073677286	35.224783588447124	35.16706563497869	35.038781993620304	34.91398904688899	34.85830015936462	34.81079539616858	34.66741613137184	34.53112648945894	34.44741007352667
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54058_ID1725_2-B-9S_S1_L001_R2.trmdfilt	35.64793270610374	35.79775224039577	35.793823613056745	35.87758596079481	35.92459256989699	35.9767102614156	35.763978237775966	35.792040904442494	35.898763862428794	35.8505954446034	35.83927445574464	35.74605607778655	35.68919889876904	35.641076104158245	35.57351756365523	35.51589231458572	35.47235142219703	35.41762218228784	35.35669165979094	35.28574802241252	35.21333561690214	35.10740336627491	35.052393225878426	34.98931195497239	34.894860734127334	34.830149071015754	34.71559901111968	34.60116990365388	34.48277126112351	34.40590292898204	34.30428195657748	34.212146176017335	34.054345487553164	33.939172299652896	33.82879437527272	33.58123767445677	33.49016516501706	33.41259304702765
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54059_ID1725_10-B-31A_S2_L001_R1.trmdfilt	35.61472060849541	35.830621967967566	35.944262554499964	36.024834636173495	36.23464417269396	36.31349312308198	36.253706605988704	36.29075792822547	36.28083666379594	36.266497643062806	36.263244195909024	36.23335833661923	36.13683438750282	36.08560914968975	36.05288173231297	36.02599782824298	35.97323983713636	35.93893901040319	35.91803446584872	35.872127047276855	35.844448248679626	35.81202834813214	35.73146708602906	35.68749024857088	35.646275028751965	35.59522497421572	35.54138630540261	35.47834863571003	35.408945688191395	35.354718587731824	35.30478319311471	35.19436041593984	35.07586109725999	35.02154641591339	34.9767844997245	34.83042178476854	34.727980993114514	34.64911421240709
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54059_ID1725_10-B-31A_S2_L001_R2.trmdfilt	35.56722842184111	35.79883498657309	35.83320170887185	35.89801546018639	35.98443556321082	36.01224268345223	35.89278511592966	35.90652199713855	36.05952515203908	35.93669407985546	35.94289439625847	35.86390688587364	35.81856086627822	35.75773695772294	35.69811499801541	35.64750689358894	35.60493326979123	35.55700014891584	35.49722666045136	35.428139793412235	35.3578610707373	35.26378416846941	35.20766837815218	35.151109040394076	35.06336234047163	35.00647609212358	34.903487653270155	34.79214842578453	34.69463015813584	34.62249560677036	34.53303163163229	34.456916488684456	34.306775526406305	34.18850806831855	34.091078347625555	33.84526644309166	33.775726008434354	33.72047633788833
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54060_ID1725_11-B-32S_S3_L001_R1.trmdfilt	35.66991662331018	35.79618610385113	35.92449626371324	36.004058981099625	36.17341260577839	36.26948232097838	36.19629402463666	36.242809561517134	36.23302485382124	36.22021205773202	36.205847290054145	36.179056984921104	36.07416698325803	36.01744690546556	35.97742638678464	35.948751309296014	35.88669399882005	35.85319518022296	35.82940311541874	35.78696929505868	35.74578590884234	35.70740768802656	35.61524724010076	35.56600722325652	35.523974182825754	35.449791811145694	35.400460898284685	35.33363222697301	35.25540735897763	35.1864619434207	35.13575219206239	34.99702078800521	34.872405800620434	34.82058047896352	34.780951831576324	34.63061687871205	34.493598555762546	34.40825479089258
