54065_ID1725_42-B-77S_S8_L001_R1.trmdfilt	43572.0	40727.0	48947.0	44049.0	54543.0	49532.0	60669.0	57633.0	66920.0	66805.0	72437.0	78845.0	79430.0	91104.0	87093.0	105959.0	97406.0	121305.0	106998.0	178776.0	213271.0	219099.0	18477954.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54065_ID1725_42-B-77S_S8_L001_R2.trmdfilt	43416.0	40571.0	48780.0	43959.0	54365.0	49410.0	60517.0	57527.0	66796.0	66709.0	72214.0	78651.0	79240.0	90919.0	87061.0	105630.0	96753.0	121427.0	106871.0	178910.0	213365.0	224819.0	18475164.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54066_ID1725_45-B-86B_S9_L001_R1.trmdfilt	107676.0	104088.0	123142.0	114810.0	139052.0	127177.0	156741.0	149644.0	180432.0	187303.0	191086.0	202706.0	194246.0	207032.0	199326.0	224544.0	210602.0	248280.0	222250.0	332492.0	392879.0	350767.0	24600349.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54066_ID1725_45-B-86B_S9_L001_R2.trmdfilt	106548.0	103140.0	122021.0	113751.0	137710.0	126003.0	155360.0	148359.0	178710.0	185549.0	189361.0	200890.0	192630.0	205285.0	198128.0	222767.0	208410.0	247178.0	221175.0	331842.0	391055.0	357372.0	24623380.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54067_ID1725_48-B-91S_S10_L001_R1.trmdfilt	132761.0	132400.0	162785.0	153872.0	192454.0	177335.0	222059.0	217797.0	261149.0	274531.0	280617.0	310907.0	299735.0	332861.0	317867.0	370839.0	349411.0	428435.0	380188.0	557299.0	620401.0	591424.0	28770270.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54067_ID1725_48-B-91S_S10_L001_R2.trmdfilt	131407.0	131156.0	161286.0	152370.0	190458.0	175541.0	219810.0	215572.0	258386.0	271915.0	277713.0	307567.0	296522.0	329344.0	314750.0	367005.0	344737.0	424953.0	375938.0	552442.0	615515.0	598888.0	28824122.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54068_ID1725_49-B-93S_S11_L001_R1.trmdfilt	335997.0	320713.0	375841.0	342855.0	403265.0	370276.0	430295.0	413957.0	465015.0	480956.0	477616.0	520446.0	489411.0	529657.0	495028.0	555718.0	515668.0	605386.0	538675.0	711265.0	738214.0	694546.0	22478230.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54068_ID1725_49-B-93S_S11_L001_R2.trmdfilt	329977.0	315928.0	370478.0	337799.0	397245.0	364717.0	424073.0	408196.0	458969.0	474315.0	471284.0	513407.0	483212.0	523042.0	489228.0	549320.0	509633.0	600674.0	533505.0	705680.0	730929.0	700453.0	22596966.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54069_ID1725_50-B-102S_S12_L001_R1.trmdfilt	50001.0	41938.0	55693.0	47037.0	60743.0	54908.0	65166.0	64581.0	70939.0	75771.0	75038.0	88704.0	81465.0	102821.0	89809.0	118335.0	102613.0	134198.0	115514.0	197675.0	243582.0	245660.0	22648096.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54069_ID1725_50-B-102S_S12_L001_R2.trmdfilt	49845.0	41912.0	55514.0	46898.0	60660.0	54794.0	65114.0	64457.0	70831.0	75709.0	74918.0	88604.0	81454.0	102703.0	89892.0	118169.0	102012.0	134683.0	115975.0	198734.0	243756.0	252047.0	22641606.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54070_ID1725_51-B-103S_S13_L001_R1.trmdfilt	45516.0	34019.0	49988.0	41555.0	54711.0	49942.0	58828.0	61260.0	65918.0	76537.0	70577.0	90539.0	78576.0	108621.0	89819.0	126504.0	105917.0	144558.0	123214.0	200247.0	241209.0	252231.0	22960690.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54070_ID1725_51-B-103S_S13_L001_R2.trmdfilt	45142.0	33865.0	49648.0	41290.0	54362.0	49603.0	58464.0	60936.0	65737.0	76017.0	70253.0	90205.0	78388.0	108138.0	89563.0	125858.0	104892.0	144402.0	123022.0	200051.0	239753.0	259784.0	22961603.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54071_ID1725_52-B-104S_S14_L001_R1.trmdfilt	73203.0	66540.0	88442.0	78128.0	100401.0	90494.0	111001.0	105667.0	119888.0	123105.0	126485.0	139610.0	134067.0	158695.0	141834.0	175500.0	156722.0	193856.0	170952.0	242483.0	273809.0	286768.0	20739832.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54071_ID1725_52-B-104S_S14_L001_R2.trmdfilt	72953.0	66391.0	88216.0	77904.0	100148.0	90296.0	110699.0	105438.0	119652.0	122769.0	126146.0	139180.0	133689.0	158180.0	141637.0	175030.0	156024.0	194076.0	171313.0	243384.0	273524.0	293149.0	20737684.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54072_ID1725_53-B-105S_S15_L001_R1.trmdfilt	160775.0	152622.0	177811.0	158032.0	186619.0	163196.0	194223.0	172692.0	194536.0	183792.0	194758.0	195346.0	193435.0	206401.0	195411.0	218747.0	198414.0	230509.0	203945.0	268416.0	290543.0	307090.0	18013729.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54072_ID1725_53-B-105S_S15_L001_R2.trmdfilt	157705.0	150163.0	174969.0	155563.0	183591.0	160686.0	191294.0	170219.0	191847.0	181292.0	192022.0	192728.0	190895.0	203506.0	192975.0	215893.0	196017.0	229152.0	201801.0	267363.0	286948.0	311548.0	18062865.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54073_ID1725_54-B-106S_S16_L001_R1.trmdfilt	25239.0	20744.0	27879.0	24559.0	29766.0	28552.0	32349.0	34330.0	35255.0	41509.0	37258.0	48528.0	42018.0	57462.0	47539.0	65802.0	55547.0	74810.0	63713.0	113297.0	150251.0	150243.0	18325250.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54073_ID1725_54-B-106S_S16_L001_R2.trmdfilt	25139.0	20794.0	27754.0	24499.0	29700.0	28539.0	32306.0	34285.0	35230.0	41341.0	37214.0	48444.0	41954.0	57337.0	47706.0	65780.0	55269.0	75241.0	64288.0	114494.0	150015.0	156245.0	18318326.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54074_ID1725_56-B-109S_S17_L001_R1.trmdfilt	34934.0	27670.0	36938.0	32027.0	39611.0	37202.0	42360.0	43368.0	45729.0	52230.0	48816.0	60899.0	52972.0	71075.0	60101.0	81566.0	69122.0	92314.0	79093.0	127691.0	152643.0	161457.0	14410455.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54074_ID1725_56-B-109S_S17_L001_R2.trmdfilt	34746.0	27603.0	36803.0	31932.0	39499.0	37033.0	42272.0	43247.0	45619.0	52124.0	48624.0	60721.0	52751.0	70849.0	60115.0	81362.0	68745.0	92595.0	79412.0	128159.0	152347.0	165971.0	14407744.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54075_ID1725_58-B-111S_S18_L001_R1.trmdfilt	130574.0	128294.0	156194.0	142624.0	177326.0	158199.0	195011.0	179797.0	208910.0	202112.0	219394.0	225575.0	229853.0	250210.0	241088.0	275738.0	254872.0	299884.0	270676.0	349471.0	362108.0	394959.0	16925349.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54075_ID1725_58-B-111S_S18_L001_R2.trmdfilt	128404.0	126615.0	154323.0	140898.0	175176.0	156133.0	192852.0	177808.0	206633.0	199914.0	217194.0	223494.0	227828.0	247982.0	239274.0	273638.0	252832.0	298968.0	269852.0	349036.0	360228.0	399805.0	16959331.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
